"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"C1, C3, C4, C5, C6, C7, C8, C9, C18","9","100nF","Unpolarized capacitor, small symbol","CL10B104KB8NNNC","187-CL10B104KB8NNNC","C1591"
"C2, C16, C17","3","10uF","Unpolarized capacitor","CL10A106MA8NRNC","187-CL10A106MA8NRNC","C96446"
"C10, C12","2","10uF","Unpolarized capacitor","CL32A106KBJNNNE","187-CL32A106KBJNNNE","C380537"
"C11","1","470nF","Unpolarized capacitor","CL10A474KB8NNNC","187-CL10A474KB8NNNC","C170149"
"C13","1","10nF","Unpolarized capacitor","CL10B103KB8NNNC","187-CL10B103KB8NNNC","C1589"
"C14","1","100uF","Polarized capacitor","EEU-FM1E101","667-EEU-FM1E101","C1579509"
"C15","1","270uF","Polarized capacitor","16SVPF270M","667-16SVPF270M","C136278"
"D1","1","SS24FL","Schottky diode","SS24FL","512-SS24FL","C894433"
"D2, D3","2","SSB44-E3","Schottky diode","SSB44-E3/52T","625-SSB44-E3","C466999"
"D4","1","PWR","Light emitting diode","150060VS75000","710-150060VS75000",""
"F1","1","2A","Resettable fuse, polymeric positive temperature coefficient","LVR200S-240","650-LVR200S-240","C1562345"
"J1","1","AEXP-B","Generic connector, double row, 02x07, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J2","1","AUX1","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J3","1","AUX1_ALT","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J4","1","AUX2","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J5","1","AUX2_ALT","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J6","1","AEXP-A","Generic connector, single row, 01x13, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J7","1","I2C","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J8","1","433TX","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J9","1","PROG","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J10","1","TRG1","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J11","1","TRG2","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J12","1","FRONT_PANEL","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J13","1","DISPLAY","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J14","1","DRV","Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J15","1","PWR","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J16","1","CH_IN","Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
