"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"BZ1","1","Buzzer","Buzzer, polarized","IE122303-1","497-IE122303-1",""
"C1, C2, C4, C5, C6, C7, C8, C9, C10, C11","10","100nF","Unpolarized capacitor, small symbol","CL10B104KB8NNNC","187-CL10B104KB8NNNC","C1591"
"C3","1","10uF","Unpolarized capacitor, small symbol","CL10A106MA8NRNC","187-CL10A106MA8NRNC","C96446"
"D1","1","MBR120","Schottky diode","MBR120ESFT1G","863-MBR120ESFT1G","C236132"
"D2","1","AUX1","","WS2812D-F5","","C190565"
"D3","1","AUX2","","WS2812D-F5","","C190565"
"D4","1","TRIG1","","WS2812D-F5","","C190565"
"D5","1","TRIG2","","WS2812D-F5","","C190565"
"D6","1","CH1","","WS2812D-F5","","C190565"
"D7","1","CH2","","WS2812D-F5","","C190565"
"D8","1","CH3","","WS2812D-F5","","C190565"
"D9","1","CH4","","WS2812D-F5","","C190565"
"J1","1","MAIN_BOARD","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"Q1","1","DMG2301L-7","P-MOSFET transistor, gate/source/drain","DMG2301L-7","621-DMG2301L-7","C102619"
"R1, R2, R3, R4, R5, R6, R7, R8, R9","9","10K","Resistor, small symbol","RC0603FR-0710KL","603-RC0603FR-0710KL","C98220"
"R10","1","100","Resistor, small symbol","RC0603FR-07100RL","603-RC0603FR-07100RL","C105588"
"RV1","1","CH1","Potentiometer","PTV09A-40xxS-B103 ","",""
"RV2","1","CH4","Potentiometer","PTV09A-40xxS-B103 ","",""
"RV3","1","CH2","Potentiometer","PTV09A-40xxS-B103 ","",""
"RV4","1","CH3","Potentiometer","PTV09A-40xxS-B103 ","",""
"SW1","1","PEC11R-42xxK-S0024","Rotary encoder, dual channel, incremental quadrate outputs, with switch","PEC11R-42xxK-S0024","",""
"SW2","1","BTN1","Push button switch, generic, two pins","D6C90F2LFS","611-D6C90F2LFS",""
"SW3","1","BTN2","Push button switch, generic, two pins","D6C90F2LFS","611-D6C90F2LFS",""
"SW4","1","BTN3","Push button switch, generic, two pins","D6C90F2LFS","611-D6C90F2LFS",""
"SW5","1","BTN4","Push button switch, generic, two pins","D6C90F2LFS","611-D6C90F2LFS",""
"U1","1","PCF8574","8 Bit Port/Expander to I2C Bus, DIP/SOIC-16","PCF8574T/3,512","771-PCF85T3512","C1522621"
"U2","1","PCF8591","4ch ADC, 1 DAC, I2C Bus Interface, DIP/SOIC-16","PCF8591T/2,518","771-PCF8591TD-T","C8366"
