"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"C1, C2","2","10uF","Unpolarized capacitor","CL32A106KBJNNNE","187-CL32A106KBJNNNE","C380537"
"C3","1","10uF","Unpolarized capacitor, small symbol","CL10A106MA8NRNC","187-CL10A106MA8NRNC","C96446"
"C4, C7","2","100nF","Unpolarized capacitor, small symbol","CL10B104KB8NNNC","187-CL10B104KB8NNNC","C1591"
"C5","1","10nF","Unpolarized capacitor","CL10B103KB8NNNC","187-CL10B103KB8NNNC","C1589"
"C6","1","180uF","Polarized capacitor","16SVP180MX","667-16SVP180MX","C236288"
"D1","1","OK","Light emitting diode","150060BS75000","710-150060BS75000",""
"D2","1","SSB44-E3","Schottky diode","SSB44-E3/52T","625-SSB44-E3","C466999"
"D3","1","DSS14","Schottky diode","","241-SS1040FLR100001","C511864"
"D4","1","CH_PWR","Light emitting diode","150060BS75000","710-150060BS75000",""
"J1","1","SERIAL (3v3)","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J2","1","PWR","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J3","1","CONTROL","Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J4","1","Channel 1","Dual Channel Output Driver Module","","",""
"J5","1","Channel 2","Dual Channel Output Driver Module","","",""
"J6","1","Channel 3","Dual Channel Output Driver Module","","",""
"J7","1","Channel 4","Dual Channel Output Driver Module","","",""
"J8","1","CH_OUT","Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"L1","1","15uH","Inductor with ferrite core","SRR1260-150M","652-SRR1260-150M","C2041333"
"R1, R2","2","4.7K","Resistor","RC0603FR-074K7L","603-RC0603FR-074K7L","C99782"
"R3, R6, R7","3","10K","Resistor","RC0603FR-0710KL","603-RC0603FR-0710KL","C98220"
"R4, R8, R9","3","1.5K","Resistor","RC0603FR-071K5L","603-RC0603FR-071K5L","C114668"
"R5","1","100K","Resistor","RC0603FR-07100KL","603-RC0603FR-07100KL","C14675"
"U1","1","TPS5430DDA","3A, Step Down Swift Converter, Adjustable Output Voltage, 5.5-36V Input Voltage, PowerSO-8","TPS5430DDAR","595-TPS5430DDAR","C9864"
"U2","1","Pico","","RASPBERRY PI PICO (UNSOLDERED)","713-102110537",""
"U3","1","MCP4728","12-bit digital to analog converter, quad output, 2.048V internal reference, integrated EEPROM, I2C interface","MCP4728-E/UN","579-MCP4728-E/UN","C108207"
"U4","1","ADS1015","Ultra-Small, Low-Power, I2C-Compatible, 3.3-kSPS, 12-Bit ADCs With Internal Reference, Oscillator, and Programmable Comparator, VSSOP-10","ADS1015IDGSR","595-ADS1015IDGSR","C193969"
