"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"C1, C2","2","470uF","Polarized capacitor, US symbol","477CKE016M","",""
"C3, C4, C6, C7","4","22uF","Unpolarized capacitor","CL32A226KAJNNNE","",""
"C5, C9","2","100nF","Unpolarized capacitor","CL10B104KB8NNWC","",""
"C8","1","1uF","Unpolarized capacitor","CL10B105KA8NFNC","",""
"D1","1","SML4746-E3/61","Zener diode","SML4746-E3/61","",""
"D2, D3","2","DSS14UTR","Schottky diode","DSS14U","",""
"FB1","1","100","Ferrite bead, small symbol","BLM18KG101TN1D","",""
"Q1","1","NTF2955T1G","P-MOSFET transistor, gate/drain/source","NTF2955T1G","",""
"Q2, Q3","2","DMN2041L","6.4A Id, 20V Vds, N-Channel MOSFET, SOT-23","DMN2041L","",""
"R1, R5, R6","3","10k","Resistor","RC0603FR-0710KL","",""
"R2, R9, R10","3","10K","Resistor","RC0603FR-0710KL","",""
"R3","1","2K","Resistor","RC0603FR-072KL","",""
"R4","1","1K","Resistor","RC0603FR-071KL","",""
"R7, R8","2","100K","Resistor","RC0603FR-07100KL","",""
"R11, R12","2","100","Resistor","RC0603FR-07100RL","",""
"R13","1","0.1","Resistor","ERJ-8BWFR100V","",""
"T1","1","42TL004-RC","","42TL004-RC","",""
"U2","1","LM358ADT","Dual CMOS Rail-to-Rail Input and Output Operational Amplifier, DIP-8/SOIC-8, SSOP-8","LM358ADT","",""
